1|Levantamiento de piernas|110|Este ejercicio lo puedes hacer en la silla romana, apoyándote en unas barras paralelas, colgada de algún soporte o recostada en el piso y levantando las piernas rectas hacia arriba.|Resistencia|ejercicio1.jpg
2|Burpee|100|Primero colócate de pie, luego apoyando las manos en el suelo, estira las piernas con un impulso para terminar en la posición para realizar una flexión, y regresa a la posición inicial de flexión, coloca las piernas cerca de las manos y levántate de un salto mientras estiras los brazos al techo.|Resistencia|ejercicio2.jpg
3|Escaladas|90|A partir de la posición de plancha, jalas un pie hacia el pecho, regresas a la posición inicial y repites con el otro, como si estuvieras escalando una montaña.|Flexibilidad|ejercicio3.jpg
4|Abdominales cruzadas|120|Acostado en el suelo bocarriba y con las piernas flexionadas, coloca las manos detrás de la nuca, levanta el tronco y rótalo de manera simultánea con la rodilla opuesta, acércala al pecho y mantén la posición un par de segundos. Vuelve a la posición inicial y repite con la otra pierna.|Flexibilidad|ejercicio4.jpg
5|Abdominales con balón|85|Recuéstate sobre tus lumbares en la pelota y coloca las manos en la nuca. Eleva el tronco hacia arriba y regresa a la posición inicial.|Aerobico|ejercicio5.jpg
6|Sentadilla con salto|95|Párate recta y flexiona ligeramente las rodillas. Agáchate con las caderas hacia atrás, con la espalda completamente recta y la cabeza hacia el frente. Salta y trata de subir las manos lo más alto que puedas.|Resistencia|ejercicio6.jpg
7|Jumping jacks|125|De pie con la espalda recta, pies juntos y brazos a los lados, dobla ligeramente las rodillas. Da un pequeño salto y mientras estás en el aire, levanta los brazos y después regresa a la posición original.|Resistencia|ejercicio7.jpg
8|Futbol|190|Es un deporte de equipo jugado entre dos conjuntos de once jugadores cada uno y algunos árbitros que se ocupan de que las normas se cumplan correctamente. Es ampliamente considerado el deporte más popular del mundo, pues lo practican unas 270 millones de personas.|Aerobico|ejercicio8.jpg
9|Caminar|70|Si quieres activar tu cuerpo, nada mejor que una caminata diaria de al menos 30 minutos. Es bien sabido que debes iniciar la actividad paulatinamente, realizando calentamiento previo y luego de la actividad, sin olvidar hidratarte de manera correcta.|Aerobico|ejercicio9.jpg
10|Natacion|210|La natación es el movimiento y el desplazamiento a través del agua mediante el uso de las extremidades corporales y por lo general sin utilizar ningún instrumento o apoyo para avanzar, generalmente la natación se hace para recreación, deporte, ejercicio o supervivencia. Los seres humanos pueden contener la respiración bajo el agua y realizar natación locomotora rudimentaria.|Aerobico|ejercicio10.jpg
